YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-10,WEEKENDS/HOLIDAY,17,TRAIN,DT21,2236,1437
2020-10,WEEKDAY,17,TRAIN,DT21,8172,3682
2020-10,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,9237,10989
2020-10,WEEKDAY,19,TRAIN,NE12/CC13,23380,37808
2020-10,WEEKENDS/HOLIDAY,6,TRAIN,EW31,361,1659
2020-10,WEEKDAY,6,TRAIN,EW31,787,8543
2020-10,WEEKENDS/HOLIDAY,15,TRAIN,EW7,4690,5208
2020-10,WEEKDAY,15,TRAIN,EW7,8682,11466
2020-10,WEEKDAY,0,TRAIN,NE17/PTC,222,1998
2020-10,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,76,1031
2020-10,WEEKDAY,13,TRAIN,BP12,3376,1957
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,BP12,526,359
2020-10,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,6106,3562
2020-10,WEEKDAY,14,TRAIN,NS17/CC15,15755,8190
2020-10,WEEKDAY,16,TRAIN,CC10/DT26,12744,9865
2020-10,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,5267,4209
2020-10,WEEKENDS/HOLIDAY,6,TRAIN,DT28,1123,659
2020-10,WEEKDAY,6,TRAIN,DT28,8006,5833
2020-10,WEEKDAY,5,TRAIN,DT7,222,113
2020-10,WEEKENDS/HOLIDAY,5,TRAIN,DT7,24,6
2020-10,WEEKDAY,11,TRAIN,PW5,1576,1254
2020-10,WEEKENDS/HOLIDAY,11,TRAIN,PW5,858,483
2020-10,WEEKDAY,18,TRAIN,BP3,4069,9595
2020-10,WEEKENDS/HOLIDAY,18,TRAIN,BP3,951,1025
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,CC28,352,1260
2020-10,WEEKDAY,22,TRAIN,CC28,789,2732
2020-10,WEEKDAY,13,TRAIN,SW6,3711,4528
2020-10,WEEKENDS/HOLIDAY,13,TRAIN,SW6,1332,1043
2020-10,WEEKENDS/HOLIDAY,23,TRAIN,CC23,236,75
2020-10,WEEKDAY,23,TRAIN,CC23,1029,215
2020-10,WEEKDAY,22,TRAIN,DT13,5660,2133
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,DT13,1579,927
2020-10,WEEKENDS/HOLIDAY,23,TRAIN,NE14,816,6998
2020-10,WEEKDAY,23,TRAIN,NE14,1728,15122
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,7456,13677
2020-10,WEEKDAY,22,TRAIN,NS9/TE2,16727,33513
2020-10,WEEKDAY,12,TRAIN,DT22,3694,4658
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,DT22,1824,2731
2020-10,WEEKENDS/HOLIDAY,18,TRAIN,DT28,2828,2433
2020-10,WEEKDAY,18,TRAIN,DT28,24037,13025
2020-10,WEEKDAY,12,TRAIN,DT34,3445,2407
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,DT34,1763,897
2020-10,WEEKDAY,9,TRAIN,SW7,3397,1061
2020-10,WEEKENDS/HOLIDAY,9,TRAIN,SW7,1300,448
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,17040,15031
2020-10,WEEKDAY,12,TRAIN,NE17/PTC,32454,30159
2020-10,WEEKENDS/HOLIDAY,19,TRAIN,NE8,11509,13139
2020-10,WEEKDAY,19,TRAIN,NE8,22007,30514
2020-10,WEEKDAY,21,TRAIN,CC24,12042,1623
2020-10,WEEKENDS/HOLIDAY,21,TRAIN,CC24,2413,854
2020-10,WEEKDAY,12,TRAIN,EW8/CC9,31591,42929
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,EW8/CC9,21411,22888
2020-10,WEEKDAY,20,TRAIN,BP5,1591,1566
2020-10,WEEKENDS/HOLIDAY,20,TRAIN,BP5,283,319
2020-10,WEEKENDS/HOLIDAY,12,TRAIN,EW15,5891,8959
2020-10,WEEKDAY,12,TRAIN,EW15,18168,22676
2020-10,WEEKENDS/HOLIDAY,7,TRAIN,SW4,359,151
2020-10,WEEKDAY,7,TRAIN,SW4,3332,918
2020-10,WEEKENDS/HOLIDAY,22,TRAIN,DT33,1131,6738
2020-10,WEEKDAY,22,TRAIN,DT33,2667,16524
2020-10,WEEKDAY,11,TRAIN,EW24/NS1,30834,59842
2020-10,WEEKENDS/HOLIDAY,11,TRAIN,EW24/NS1,15809,33954
