YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-09,WEEKENDS/HOLIDAY,11,TRAIN,NS7,1179,1837
2020-09,WEEKDAY,11,TRAIN,NS7,1987,1816
2020-09,WEEKENDS/HOLIDAY,16,TRAIN,SW4,390,418
2020-09,WEEKDAY,16,TRAIN,SW4,1040,1543
2020-09,WEEKENDS/HOLIDAY,10,TRAIN,CC5,554,1142
2020-09,WEEKDAY,10,TRAIN,CC5,1323,3405
2020-09,WEEKENDS/HOLIDAY,13,TRAIN,CC23,953,1031
2020-09,WEEKDAY,13,TRAIN,CC23,7088,7646
2020-09,WEEKDAY,22,TRAIN,EW33,720,440
2020-09,WEEKENDS/HOLIDAY,22,TRAIN,EW33,181,188
2020-09,WEEKDAY,14,TRAIN,CC21,7287,7089
2020-09,WEEKENDS/HOLIDAY,14,TRAIN,CC21,2929,2756
2020-09,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,31262,30742
2020-09,WEEKDAY,18,TRAIN,EW24/NS1,157668,120812
2020-09,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2551,1924
2020-09,WEEKDAY,7,TRAIN,NE10,16691,25538
2020-09,WEEKDAY,8,TRAIN,EW22,6917,17251
2020-09,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1210,1168
2020-09,WEEKDAY,14,TRAIN,CC16,6487,5975
2020-09,WEEKENDS/HOLIDAY,14,TRAIN,CC16,1929,1989
2020-09,WEEKDAY,10,TRAIN,EW11,11728,14716
2020-09,WEEKENDS/HOLIDAY,10,TRAIN,EW11,3970,4728
2020-09,WEEKDAY,6,TRAIN,NS24/NE6/CC1,3237,8190
2020-09,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,936,1499
2020-09,WEEKDAY,0,TRAIN,EW19,72,180
2020-09,WEEKENDS/HOLIDAY,0,TRAIN,EW19,26,75
2020-09,WEEKDAY,10,TRAIN,CC22/EW21,9469,13436
2020-09,WEEKENDS/HOLIDAY,10,TRAIN,CC22/EW21,3365,3672
2020-09,WEEKDAY,8,TRAIN,CC8,9061,6744
2020-09,WEEKENDS/HOLIDAY,8,TRAIN,CC8,1631,1297
2020-09,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,9698,8416
2020-09,WEEKDAY,17,TRAIN,NE7/DT12,28576,19317
2020-09,WEEKENDS/HOLIDAY,17,TRAIN,EW33,926,477
2020-09,WEEKDAY,17,TRAIN,EW33,8546,821
2020-09,WEEKENDS/HOLIDAY,22,TRAIN,NS28,428,55
2020-09,WEEKDAY,22,TRAIN,NS28,931,157
2020-09,WEEKENDS/HOLIDAY,0,TRAIN,DT10,8,33
2020-09,WEEKDAY,0,TRAIN,DT10,10,60
2020-09,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3,3986,4861
2020-09,WEEKDAY,10,TRAIN,EW16/NE3,16283,24815
2020-09,WEEKDAY,9,TRAIN,CC14,6602,5037
2020-09,WEEKENDS/HOLIDAY,9,TRAIN,CC14,1886,792
2020-09,WEEKDAY,14,TRAIN,EW27,29513,36226
2020-09,WEEKENDS/HOLIDAY,14,TRAIN,EW27,14319,14574
2020-09,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2,0,20
2020-09,WEEKDAY,0,TRAIN,NS27/CE2,8,33
2020-09,WEEKENDS/HOLIDAY,18,TRAIN,DT27,1737,1444
2020-09,WEEKDAY,18,TRAIN,DT27,21597,7916
2020-09,WEEKENDS/HOLIDAY,7,TRAIN,BP10,864,463
2020-09,WEEKDAY,7,TRAIN,BP10,9572,2879
2020-09,WEEKENDS/HOLIDAY,15,TRAIN,NE10,3634,3825
2020-09,WEEKDAY,15,TRAIN,NE10,10598,11078
